-0.5296951,-0.28072026,5.5070114;0.04317665845155716,-0.9345753192901611,-0.017227519303560257,-0.35271549224853516,0.9981867671012878,0.03393116220831871,0.04577105864882469,0.01941743493080139,0.997626781463623,-0.0492752306163311,-0.038393743336200714,-0.02896048314869404,0.9983130097389221,0.05676302686333656,-0.01219529751688242,0.0006579344626516104,0.9981359243392944,-0.03800582140684128,-0.047617435455322266,-0.0035903817042708397,0.9994677305221558,-0.00043497688602656126,0.03198861703276634,0.00639650272205472,0.9979304075241089,-0.06358466297388077,-0.007789073511958122,-0.005593439564108849,0.9780640602111816,0.01972408965229988,0.18446996808052063,-0.09472408890724182,0.9745301008224487,0.031350016593933105,-0.1764436811208725,0.13481780886650085,0.9982140064239502,0.05930839851498604,-0.006000711116939783,0.003909395541995764,0.9933207035064697,-0.034067295491695404,-0.05457079038023949,0.09578897058963776,0.9858606457710266,-0.0320252925157547,0.06890933215618134,-0.14934805035591125,0.9996184706687927,0.00550865987315774,-0.020731128752231598,-0.017406227067112923,0.9845200181007385,-0.08659736812114716,0.08879277855157852,0.1238430067896843,0.9891818165779114,-0.07815685123205185,-0.07954195141792297,-0.09530974179506302,0.9988196492195129,-0.036794207990169525,-0.0062987320125103,0.031077643856406212,0.9930515289306641,-0.11688204109668732,-0.00021823171118739992,-0.013690359890460968,0.9927458763122559,-0.10561615973711014,-0.04438338056206703,0.036483824253082275,0.9947168827056885,-0.08136541396379471,-0.059829190373420715,0.018398120999336243,0.9970974326133728,-0.06431818753480911,0.03984198719263077,-0.008517988957464695,0.9890093207359314,0.11679074913263321,-0.07089093327522278,0.05652427300810814,0.9919649958610535,0.12209343910217285,0.02726205252110958,-0.018853550776839256,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.5281186,-0.27191556,5.4641514;0.03306461125612259,-0.9348922371864319,-0.021116841584444046,-0.3527567684650421,0.9983295798301697,0.03213468939065933,0.04532003402709961,0.015860823914408684,0.9978368878364563,-0.049421124160289764,-0.03366227447986603,-0.02731214463710785,0.9984486103057861,0.05454711243510246,-0.011187585070729256,-0.00012432743096724153,0.9982700943946838,-0.04081883281469345,-0.04229769855737686,-0.0013111440930515528,0.9994582533836365,-0.009509924799203873,0.03105178102850914,0.00534721789881587,0.9981507062911987,-0.059792328625917435,-0.009903172962367535,-0.00469599012285471,0.9794132709503174,0.02316269278526306,0.1780051738023758,-0.09234458953142166,0.9763443470001221,0.036269575357437134,-0.16840729117393494,0.1306723803281784,0.9981363415718079,0.060452450066804886,-0.007427102420479059,0.0037715209182351828,0.9939291477203369,-0.033929623663425446,-0.04926106706261635,0.09234277904033661,0.9873945713043213,-0.031087808310985565,0.059001076966524124,-0.14354224503040314,0.9996316432952881,0.004488339647650719,-0.021630562841892242,-0.015766702592372894,0.9872311949729919,-0.07659073919057846,0.09535971283912659,0.10205357521772385,0.9903554916381836,-0.06845124810934067,-0.08996482193470001,-0.08010507375001907,0.9990314245223999,-0.031267181038856506,-0.007302593439817429,0.03008829802274704,0.9938154220581055,-0.09827275574207306,0.010838623158633709,-0.05055622011423111,0.9921701550483704,-0.0835973247885704,-0.057819005101919174,0.07257333397865295,0.9956515431404114,-0.06669420748949051,-0.0643756240606308,0.009264829568564892,0.9976502656936646,-0.05546869710087776,0.03997347876429558,-0.004402527119964361,0.9888126254081726,0.11940708011388779,-0.06884926557540894,0.05702103301882744,0.9925615191459656,0.11675965785980225,0.028786003589630127,-0.01898118294775486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.52881175,-0.26475018,5.457256;0.031190061941742897,-0.9286783337593079,-0.015594884753227234,-0.369243323802948,0.9982884526252747,0.028849942609667778,0.04623573645949364,0.02122081071138382,0.997718334197998,-0.05278138443827629,-0.03095518983900547,-0.02853519096970558,0.9985284209251404,0.05265137180685997,-0.012990891933441162,0.0003973022394347936,0.9985247254371643,-0.03573010861873627,-0.04073987901210785,-0.003468888346105814,0.9994684457778931,-0.00034687327570281923,0.031727928668260574,0.007487802300602198,0.9984151124954224,-0.0550541952252388,-0.011403432115912437,-0.002503600437194109,0.9812219142913818,0.018527012318372726,0.17051218450069427,-0.08823812752962112,0.9782787561416626,0.02992927096784115,-0.16018854081630707,0.1281193345785141,0.9981734752655029,0.05950601398944855,-0.009326724335551262,0.0046761296689510345,0.9943018555641174,-0.03734373301267624,-0.0416690818965435,0.09073558449745178,0.9874447584152222,-0.031109819188714027,0.05473019927740097,-0.1448783129453659,0.9996333718299866,-0.008486632257699966,-0.015950163826346397,-0.020167412236332893,0.9900109171867371,-0.06542650610208511,0.08531412482261658,0.09121020883321762,0.9925646781921387,-0.05942292511463165,-0.08366787433624268,-0.06545165181159973,0.9990844130516052,-0.031025519594550133,-0.0034201727248728275,0.029261866584420204,0.9935469031333923,-0.08344880491495132,0.0007342541357502341,-0.07681404054164886,0.9905734658241272,-0.0644615963101387,-0.06508900970220566,0.10184485465288162,0.9950641393661499,-0.060480792075395584,-0.07862265408039093,0.0028240536339581013,0.9980804324150085,-0.047230008989572525,0.04005981609225273,0.00010163975821342319,0.9900192618370056,0.10614540427923203,-0.07065611332654953,0.060022637248039246,0.9943796396255493,0.10189470648765564,0.02659711427986622,-0.010922039858996868,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.52564406,-0.2612861,5.4142623;0.035437632352113724,-0.9313012957572937,-0.013199517503380775,-0.3622815012931824,0.9982701539993286,0.03365348279476166,0.04516209661960602,0.01686839759349823,0.9979774951934814,-0.04846803471446037,-0.03203309699892998,-0.02580140344798565,0.9986286163330078,0.05100914090871811,-0.01177589874714613,0.00053009222028777,0.9982593655586243,-0.04181264340877533,-0.041557345539331436,-0.0017327668610960245,0.9994734525680542,-0.010214325971901417,0.030197037383913994,0.006059316452592611,0.9985727071762085,-0.052521441131830215,-0.008966404013335705,-0.0037004915066063404,0.9817005395889282,0.01479426771402359,0.1704985648393631,-0.0835188701748848,0.9790045619010925,0.028411049395799637,-0.16030938923358917,0.12265308946371078,0.9985370635986328,0.05348319187760353,-0.006773747969418764,0.004179489798843861,0.9950789213180542,-0.029725458472967148,-0.042509403079748154,0.0844244584441185,0.9889041185379028,-0.025225605815649033,0.05349324643611908,-0.13627463579177856,0.9995007514953613,-0.015073270536959171,-0.019000355154275894,-0.02024964429438114,0.9919447302818298,-0.06566622108221054,0.0739031657576561,0.07919523864984512,0.9942499995231628,-0.05919160321354866,-0.07060070335865021,-0.054579559713602066,0.9992153644561768,-0.026064960286021233,-0.008040070533752441,0.02871680073440075,0.9936458468437195,-0.08133005350828171,-0.003742606844753027,-0.07771347463130951,0.9913483262062073,-0.06767258048057556,-0.05412594601511955,0.09858687967061996,0.9955490827560425,-0.057921864092350006,-0.07415977865457535,0.005236710887402296,0.9983307719230652,-0.04486387223005295,0.036371901631355286,-0.0002322341169929132,0.9879027009010315,0.12371285259723663,-0.06822074949741364,0.06394787132740021,0.9922953248023987,0.12052212655544281,0.024245934560894966,-0.015382395125925541,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.53051496,-0.25886977,5.4444556;0.024353204295039177,-0.9305566549301147,-0.006850816775113344,-0.36527326703071594,0.9976839423179626,0.04296766594052315,0.04859645664691925,0.02046903222799301,0.9981253147125244,-0.042135003954172134,-0.03446445241570473,-0.027978019788861275,0.9985750317573547,0.05187332630157471,-0.01252992358058691,-0.000262909714365378,0.9982168078422546,-0.04165941849350929,-0.04273251071572304,-0.0012970337411388755,0.9995115995407104,-0.009106453508138657,0.029189718887209892,0.0064486172050237656,0.9983890056610107,-0.0559636726975441,-0.008760065771639347,-0.003276830306276679,0.9813209772109985,0.013861988671123981,0.17303040623664856,-0.08293033391237259,0.9789251089096069,0.028192536905407906,-0.16289401054382324,0.11990160495042801,0.9984304308891296,0.05532215163111687,-0.007720500696450472,0.004068131558597088,0.995246171951294,-0.031233321875333786,-0.042777132242918015,0.0817292183637619,0.9894202947616577,-0.026059219613671303,0.05229214206337929,-0.1327928900718689,0.9996447563171387,-0.003855532268062234,-0.01760161854326725,-0.01963954232633114,0.9920523762702942,-0.06508788466453552,0.07453379780054092,0.07772035896778107,0.9941740036010742,-0.0580485463142395,-0.07262787222862244,-0.05453096330165863,0.999130129814148,-0.02967924438416958,-0.007321041077375412,0.02836517058312893,0.993649423122406,-0.08391016721725464,0.002002045279368758,-0.07493956387042999,0.9907585382461548,-0.06780856102705002,-0.05862310528755188,0.10179827362298965,0.9967643022537231,-0.052603207528591156,-0.06074315309524536,0.00203461735509336,0.9986523985862732,-0.03967392072081566,0.03338354080915451,0.0022263105493038893,0.9857808351516724,0.1421545445919037,-0.06425908952951431,0.062441837042570114,0.9909753203392029,0.1306440681219101,0.024196457117795944,-0.017737725749611855,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.5310219,-0.25369465,5.406244;0.027959594503045082,-0.9349559545516968,-0.010005737654864788,-0.3535187244415283,0.9982617497444153,0.03486097231507301,0.04508688673377037,0.01501530036330223,0.9983758330345154,-0.04287481680512428,-0.030848726630210876,-0.02134900540113449,0.9988288283348083,0.04712303727865219,-0.010974475182592869,-0.0003172632132191211,0.9984936118125916,-0.03919248655438423,-0.03837401047348976,-0.0013544565299525857,0.9994256496429443,-0.014467640779912472,0.030150581151247025,0.005479815881699324,0.9984691143035889,-0.0540398471057415,-0.011346708983182907,-0.0032326504588127136,0.9918795228004456,0.0058418503031134605,0.11557888984680176,-0.05274919793009758,0.9918510317802429,0.01724540814757347,-0.10419350117444992,0.07125919312238693,0.9981894493103027,0.05936618521809578,-0.008739474229514599,0.0041584838181734085,0.997825562953949,-0.025686070322990417,-0.03086933121085167,0.05226369574666023,0.9962372779846191,-0.016976380720734596,0.03203215077519417,-0.0787210613489151,0.9996551871299744,-0.0024825125001370907,-0.01567576266825199,-0.020919006317853928,0.9908697009086609,-0.06132877245545387,0.0867035910487175,0.0830569714307785,0.9931536316871643,-0.05375535413622856,-0.08523934334516525,-0.05908228084445,0.9991661906242371,-0.030078507959842682,-0.0025425946805626154,0.027490712702274323,0.9934735298156738,-0.08198634535074234,0.011392636224627495,-0.07847840338945389,0.9896836876869202,-0.06443198770284653,-0.07062070071697235,0.106712207198143,0.9971345067024231,-0.04929007589817047,-0.05730067566037178,-0.0031453401315957308,0.9988035559654236,-0.03716793283820152,0.03133191913366318,0.005324498750269413,0.9975670576095581,0.04831022396683693,-0.03947945684194565,0.031107978895306587,0.9982706904411316,0.05643518269062042,0.014359140768647194,-0.008043882437050343,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.54155326,-0.25736374,5.431737;0.043035637587308884,-0.9368607997894287,-0.010544314049184322,-0.3468841314315796,0.9986499547958374,0.022526228800415993,0.04260297492146492,0.019386082887649536,0.9977842569351196,-0.05473056063055992,-0.031209001317620277,-0.021381620317697525,0.9983745217323303,0.05614708736538887,-0.009724898263812065,-0.001128011499531567,0.9983315467834473,-0.03516265004873276,-0.04565694183111191,-0.0036402333062142134,0.9994239807128906,-0.011555584147572517,0.030873047187924385,0.00806864071637392,0.9980241060256958,-0.06208062171936035,-0.008397785015404224,-0.004838951397687197,0.980189323425293,0.019624952226877213,0.17480269074440002,-0.09103763103485107,0.9781587719917297,0.02909318171441555,-0.16619044542312622,0.12140823155641556,0.9982151985168457,0.05920380726456642,-0.006812593899667263,0.0038766537327319384,0.9942331910133362,-0.03795342519879341,-0.04590469226241112,0.08917771279811859,0.9883398413658142,-0.031102944165468216,0.05273919180035591,-0.1394113451242447,0.999430239200592,-0.020626241341233253,-0.017439544200897217,-0.020239682868123055,0.9884936809539795,-0.06510433554649353,0.10651391744613647,0.08542072027921677,0.9913206100463867,-0.056716009974479675,-0.1002226397395134,-0.06342082470655441,0.9987184405326843,-0.041375141590833664,-0.006776433903723955,0.028350219130516052,0.9921726584434509,-0.0893295481801033,0.026334377005696297,-0.08318790048360825,0.9889815449714661,-0.06939659267663956,-0.07552295178174973,0.10675270110368729,0.996220052242279,-0.06548921763896942,-0.05649396777153015,0.008076746948063374,0.9981657266616821,-0.050569042563438416,0.03328289836645126,-0.0005025895079597831,0.9894238710403442,0.10964333266019821,-0.06615208089351654,0.06813732534646988,0.9938440918922424,0.10494276136159897,0.026199307292699814,-0.023969143629074097,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.54704034,-0.2665968,5.4822593;0.054012905806303024,-0.9370770454406738,-0.00669231079518795,-0.34485453367233276,0.9984723329544067,0.02297918312251568,0.04371941462159157,0.024770591408014297,0.9977760314941406,-0.05419807881116867,-0.031698115170001984,-0.02237986959517002,0.998421847820282,0.055263228714466095,-0.009899391792714596,-0.001337177585810423,0.9983616471290588,-0.025963058695197105,-0.05052078142762184,-0.006913594901561737,0.9993622899055481,-0.006013807840645313,0.033337924629449844,0.011292597278952599,0.998021125793457,-0.06223422288894653,-0.00802823156118393,-0.004045253153890371,0.9801797270774841,0.012609211727976799,0.17558632791042328,-0.09087473899126053,0.9783923029899597,0.022813830524683,-0.16774222254753113,0.1187039166688919,0.9982168078422546,0.05919016897678375,-0.006665063556283712,0.003934758249670267,0.994002103805542,-0.041685596108436584,-0.045349739491939545,0.09036330133676529,0.9884901642799377,-0.03211670368909836,0.0521819144487381,-0.13832151889801025,0.9995391368865967,-0.016929160803556442,-0.017392031848430634,-0.018231801688671112,0.9880788326263428,-0.06781870126724243,0.10696355998516083,0.08751969784498215,0.9909495711326599,-0.05962400883436203,-0.10057464987039566,-0.0659451112151146,0.9987659454345703,-0.04163793846964836,-0.005931337829679251,0.026413213461637497,0.992626965045929,-0.0938185602426529,0.026087705045938492,-0.07217510044574738,0.9900773167610168,-0.07546880841255188,-0.07298845052719116,0.09340273588895798,0.9959495663642883,-0.07014677673578262,-0.05557258054614067,0.008695543743669987,0.9978002309799194,-0.05711667612195015,0.03356530889868736,-0.002391722984611988,0.9897040128707886,0.10929801315069199,-0.06587346643209457,0.06481209397315979,0.9938444495201111,0.10448707640171051,0.027152394875884056,-0.024868059903383255,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.55470794,-0.26525897,5.4747424;0.05806809291243553,-0.9309372901916504,0.0019658973906189203,-0.3605273365974426,0.9984895586967468,0.02258918434381485,0.04222002625465393,0.02694103680551052,0.9978799819946289,-0.054130345582962036,-0.030265185981988907,-0.019735945388674736,0.9986081123352051,0.051473092287778854,-0.011470629833638668,0.0008915092330425978,0.9984096884727478,-0.023831652477383614,-0.050541527569293976,-0.007465919479727745,0.9993802309036255,-0.004853869788348675,0.032800134271383286,0.011822221800684929,0.9981784820556641,-0.05959123745560646,-0.00685841916128993,-0.0064462595619261265,0.9806686639785767,0.017617467790842056,0.17102117836475372,-0.0934363305568695,0.978738009929657,0.023098381236195564,-0.16461752355098724,0.1201644018292427,0.9980978965759277,0.061319876462221146,-0.005675778724253178,0.002883835230022669,0.9938147664070129,-0.04893208667635918,-0.04191749542951584,0.0904478058218956,0.9878110289573669,-0.033053986728191376,0.0504327155649662,-0.14350400865077972,0.9993242025375366,-0.01590598374605179,-0.024094678461551666,-0.022752447053790092,0.9867677688598633,-0.061232421547174454,0.11993566900491714,0.09030705690383911,0.9899354577064514,-0.05898255854845047,-0.10643953830003738,-0.0722462609410286,0.9987123608589172,-0.04226335883140564,-0.002890691626816988,0.02791573293507099,0.9915099740028381,-0.0828300267457962,0.03408501297235489,-0.09426333755254745,0.9895983934402466,-0.07512152940034866,-0.07769255340099335,0.09495076537132263,0.995335578918457,-0.06622334569692612,-0.06955144554376602,0.009172715246677399,0.9976733922958374,-0.05719786137342453,0.0368369035422802,-0.004400901962071657,0.9930420517921448,0.07004189491271973,-0.0717850923538208,0.061712805181741714,0.995242714881897,0.0924471989274025,0.025079676881432533,-0.0177905410528183,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.55349773,-0.26243776,5.4082603;0.05354103073477745,-0.9324327111244202,0.010011697188019753,-0.35721471905708313,0.9975230693817139,0.020633485168218613,0.04568006470799446,0.04935029521584511,0.9957512617111206,-0.0774589255452156,-0.029300464317202568,-0.040262024849653244,0.9983195662498474,0.05546041578054428,-0.016736960038542747,0.001449387171305716,0.9979588389396667,-0.002345148241147399,-0.06275147944688797,-0.011625139974057674,0.9990944266319275,0.017532777041196823,0.03572200611233711,0.015063131228089333,0.9985554218292236,-0.052570827305316925,-0.007248817011713982,-0.008418443612754345,0.9809495210647583,0.00888379942625761,0.16413570940494537,-0.10353094339370728,0.9784727096557617,0.019579501822590828,-0.15850059688091278,0.13071109354496002,0.9980064034461975,0.0626579001545906,-0.007524764630943537,0.0007810561219230294,0.9922565221786499,-0.057902731001377106,-0.037323638796806335,0.10335008054971695,0.9859177470207214,-0.037133634090423584,0.04694138094782829,-0.15615321695804596,0.9992380142211914,-0.01054531242698431,-0.027329521253705025,-0.02579347789287567,0.9871647953987122,-0.05765175446867943,0.11698828637599945,0.09217210859060287,0.9897395968437195,-0.05982082337141037,-0.10333062708377838,-0.07848472893238068,0.9988914132118225,-0.03694617375731468,-0.00017239968292415142,0.029170241206884384,0.992093026638031,-0.07584834098815918,0.027783041819930077,-0.0960555225610733,0.9909620881080627,-0.07650749385356903,-0.07292462140321732,0.08260039985179901,0.9930859804153442,-0.06810653954744339,-0.09544489532709122,0.005658090114593506,0.996828019618988,-0.06402963399887085,0.04713476449251175,-0.003542698919773102,0.9951298832893372,0.03221956267952919,-0.07651976495981216,0.053133927285671234,0.9969652891159058,0.07126640528440475,0.029011735692620277,-0.011819704435765743,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
