-0.5296951,-0.28072026,5.5070114;-0.9354472,-0.017243588,-0.3530446,3.055212486441988,0.56368953,0.7603826,0.32257676,0.12046135644188222,-0.7156455,-0.55760896,-0.42060566,0.13781652513149376,0.97761893,-0.21003729,0.01133148,0.11618941119192795,-0.6227272,-0.7802139,-0.058828574,0.12213742082448069,-0.013332513,0.98048574,0.19605973,0.06526113442757203,-0.9888105,-0.12112852,-0.08698403,0.1286962014460848,0.0946884,0.8855753,-0.45473695,0.4196826205674424,0.13979498,-0.78679186,0.6011751,0.45236032127401277,0.9927795,-0.10044754,0.06544043,0.11954968291374286,-0.29524338,-0.47293645,0.8301529,0.23128848237845226,-0.1911179,0.41123143,-0.89126694,0.3367240052435644,0.19940996,-0.75045365,-0.6300943,0.055255617284336984,-0.49407214,0.5065978,0.7065732,0.35236449617858884,-0.5327836,-0.5422256,-0.6497123,0.2944521594102139,-0.7575001,-0.12967503,0.63981044,0.09718364972496835,-0.9932042,-0.0018544212,-0.116333716,0.23590919342053984,-0.87843287,-0.36914638,0.30344403,0.2410470619761196,-0.792595,-0.5828068,0.1792194,0.2056752874399727,-0.84476894,0.5232933,-0.1118771,0.15242055620296546,0.78990704,-0.47946644,0.3822984,0.29679472079575797,0.9650643,0.21548769,-0.14902428,0.2537054388299985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5281186,-0.27191556,5.4641514;-0.9354034,-0.021128386,-0.35294965,3.075451442339524,0.5561861,0.7843974,0.27451858,0.11561713449595526,-0.75177795,-0.5120595,-0.41546342,0.13157186365120202,0.979597,-0.20091483,-0.0022327628,0.11142305495285859,-0.694237,-0.71938914,-0.022299627,0.11766020369794743,-0.2889397,0.94344515,0.16246434,0.06583724566419204,-0.98360366,-0.16291049,-0.07725059,0.12165209595913785,0.11474264,0.8817966,-0.45745382,0.4065254435713645,0.16774225,-0.7788626,0.60434335,0.4358856680074409,0.9906317,-0.12170761,0.06180375,0.12212315665002538,-0.30838522,-0.4477322,0.8393005,0.2204923598770133,-0.19641197,0.37276727,-0.9068961,0.3178930069445067,0.16537023,-0.79696536,-0.58091486,0.05428798179813851,-0.48081252,0.5986382,0.64066017,0.3199507414778152,-0.4940531,-0.6493294,-0.57816577,0.27799401847868743,-0.7105601,-0.16595459,0.68376946,0.08803455899348599,-0.8849792,0.097605444,-0.45527577,0.22254852884769172,-0.669345,-0.46294382,0.58107847,0.25044140560287015,-0.71593165,-0.6910428,0.09945369,0.18658395055044186,-0.80960184,0.58343905,-0.06425776,0.13713352088552874,0.8005101,-0.4615684,0.38227144,0.2994439717369936,0.9590505,0.23644494,-0.15590927,0.2440946644650635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.52881175,-0.26475018,5.457256;-0.92913,-0.01560247,-0.36942297,3.0792023595043916,0.4932916,0.7905631,0.3628447,0.1170348835719609,-0.78176004,-0.45848614,-0.42264283,0.13513396874645323,0.970849,-0.23954163,0.007325934,0.10851682042207746,-0.6580158,-0.75027704,-0.06388403,0.10865199461412131,-0.010639677,0.9731937,0.22967404,0.0652142887356743,-0.9782368,-0.20262316,-0.044485502,0.11261651777118863,0.09605315,0.88401914,-0.4574699,0.3881977526500913,0.1443806,-0.77275926,0.6180555,0.41761557819697825,0.98496675,-0.15437956,0.07740112,0.12090108996131528,-0.3503109,-0.39088574,0.85116464,0.21360826390494117,-0.1969406,0.34646934,-0.91715163,0.3172588579415477,-0.31342196,-0.58905953,-0.7448078,0.054160295347856366,-0.46404612,0.6051017,0.64692044,0.2829244283949936,-0.4881989,-0.6873872,-0.5377289,0.24404151279162167,-0.72514474,-0.07993808,0.6839238,0.08559566175222759,-0.7357316,0.0064736013,-0.6772357,0.227334000609461,-0.4705804,-0.47516066,0.74348444,0.2748294558672263,-0.6094723,-0.79229003,0.028458327,0.19879557796437045,-0.7626145,0.64683867,0.001641159,0.12394170873307589,0.7531644,-0.50134695,0.42589608,0.28280562300727113,0.9624135,0.25121444,-0.1031606,0.21214490904370897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.52564406,-0.2612861,5.4142623;-0.9318863,-0.013207808,-0.3625091,3.070702535648354,0.5723933,0.7681369,0.28690517,0.1176555209417534,-0.76244503,-0.50390893,-0.4058788,0.1272232342361677,0.9743129,-0.22492853,0.010125159,0.10475480705485236,-0.70895666,-0.7046279,-0.029380025,0.1180229342168198,-0.31478038,0.9305984,0.18673322,0.06490850600282205,-0.9833605,-0.16787826,-0.069284424,0.10687016725849365,0.07768806,0.89532673,-0.43857655,0.38320271575840403,0.13937995,-0.78645164,0.601716,0.4105539330244616,0.9890977,-0.1252711,0.077293895,0.10819718071395841,-0.2999934,-0.42901075,0.85202324,0.19849876695990623,-0.16980575,0.36008894,-0.9173305,0.2982140972076561,-0.47706518,-0.6013563,-0.6408961,0.06320118337862415,-0.5183966,0.5834224,0.6252003,0.25402505061851194,-0.5527548,-0.6592975,-0.50968575,0.2145799102343529,-0.65808874,-0.20299588,0.72504246,0.07923384348688037,-0.72259617,-0.03325208,-0.6904637,0.22558216072259651,-0.5155686,-0.41236258,0.75109154,0.26327497553623525,-0.6145878,-0.78688234,0.055564832,0.188769270412213,-0.7767784,0.6297474,-0.0040209284,0.11557597246304142,0.79775864,-0.4399194,0.4123659,0.31140682874449854,0.9727694,0.19569606,-0.124155834,0.24842912735969835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.53051496,-0.25886977,5.4444556;-0.9308323,-0.006852845,-0.3653815,3.092881476170496,0.6316804,0.71443087,0.3009213,0.13614655663407574,-0.68843013,-0.56310344,-0.45712373,0.12248450200498849,0.9720238,-0.2347909,-0.004926512,0.1067823320399186,-0.69788843,-0.7158651,-0.021728216,0.11945706882594817,-0.29140344,0.93406117,0.20635357,0.06250983316980385,-0.986312,-0.15438868,-0.057751335,0.11354064789211309,0.07205598,0.89942914,-0.43108004,0.38716869377514335,0.13804972,-0.7976392,0.58711934,0.4113330022478361,0.98777705,-0.13784955,0.07263649,0.11207107008692466,-0.32069758,-0.43922713,0.8391795,0.19509188045409728,-0.17962204,0.3604414,-0.91532016,0.2911827573585108,-0.14465271,-0.6603815,-0.7368408,0.05331273809444418,-0.51728296,0.59235394,0.61767894,0.2523207210223913,-0.5385455,-0.67380524,-0.50591105,0.2159938801016102,-0.71169364,-0.17555495,0.6801828,0.08342774876900831,-0.74572897,0.017792642,-0.66600513,0.2255185656655105,-0.4999227,-0.4322023,0.75051385,0.27211395054820026,-0.6544263,-0.75569373,0.025312275,0.16093392080887828,-0.7644472,0.6432426,0.042897116,0.10384331606671486,0.8459738,-0.38241127,0.37159666,0.3376741839875567,0.9746273,0.18050978,-0.13232651,0.2688986405107456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5310219,-0.25369465,5.406244;-0.93532133,-0.010009648,-0.35365686,3.085666134241442,0.59149015,0.7649945,0.25476635,0.11794241265857204,-0.75256854,-0.54147816,-0.37473255,0.11400335439698185,0.9739057,-0.22681274,-0.006556973,0.09680802844611217,-0.71430403,-0.69938695,-0.024685698,0.10979026147386509,-0.4269185,0.88969874,0.16170119,0.06778903915390488,-0.97697794,-0.20513538,-0.05844258,0.11068202563865868,0.045933068,0.9087691,-0.41475427,0.25505338563619684,0.1353604,-0.8178219,0.5593183,0.2555006818739335,0.9869618,-0.14529361,0.06913473,0.12037251706022986,-0.3897089,-0.46834928,0.7929444,0.13191648024684158,-0.19587824,0.3695959,-0.90830564,0.17355280032723575,-0.09454029,-0.5969723,-0.796648,0.05252259369849499,-0.4548826,0.6430905,0.6160431,0.27046927330688647,-0.46016714,-0.72968256,-0.5057678,0.23416768524065487,-0.7367049,-0.062275093,0.67332256,0.08167857819212267,-0.7187769,0.09987961,-0.6880226,0.2286239826543158,-0.449723,-0.4929191,0.7448309,0.28752916455545313,-0.6515584,-0.75744945,-0.041577794,0.1514426874045267,-0.76002735,0.64068985,0.10887786,0.09784484162253668,0.6929603,-0.56629205,0.44621184,0.13954359222489093,0.95999897,0.24425827,-0.13683164,0.11764022542806149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.54155326,-0.25736374,5.431737;-0.93772924,-0.010554087,-0.34720564,3.0554948798720805,0.43365267,0.8201503,0.3732017,0.10393642164963558,-0.82260436,-0.4690736,-0.32136732,0.1331639239007911,0.9851278,-0.17062804,-0.01979151,0.11405024358267304,-0.60894865,-0.7906895,-0.06304176,0.11554968724283242,-0.34048724,0.9096796,0.23774387,0.0678887900384373,-0.98802334,-0.13365215,-0.07701272,0.12574812028803278,0.09908412,0.88255864,-0.45963857,0.39876283986042516,0.13996518,-0.7995301,0.5840861,0.4187725603001632,0.9913409,-0.11407379,0.0649128,0.11951198030333643,-0.35391024,-0.4280546,0.8315693,0.2148927890720292,-0.20426908,0.34636554,-0.9155864,0.3057172599959242,-0.6110954,-0.51668286,-0.5996429,0.06751762085515603,-0.43040356,0.70416147,0.5647148,0.3036916014635977,-0.43140814,-0.76233965,-0.48240805,0.2636966993826415,-0.81749135,-0.13388899,0.5601445,0.10126693088878662,-0.7153551,0.21088687,-0.66617244,0.2504014993800405,-0.46876875,-0.5101518,0.72110635,0.2971715889182051,-0.7539096,-0.65035665,0.09297924,0.17395050850999286,-0.83527684,0.549752,-0.008301549,0.12115640387193376,0.75588053,-0.45605212,0.46973836,0.2911336443624844,0.94723797,0.2364811,-0.2163511,0.22203113803239385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.54704034,-0.2665968,5.4822593;-0.9384465,-0.006702091,-0.34535855,3.033514367313287,0.4158784,0.79123616,0.4482994,0.11056443822448268,-0.8130917,-0.47554222,-0.3357478,0.13341148475565187,0.9840442,-0.17627344,-0.023810443,0.1123767181121156,-0.45373017,-0.8829006,-0.120821916,0.11450425018195531,-0.16841096,0.93359685,0.31623843,0.07143243521710167,-0.9897195,-0.12767409,-0.064332224,0.1258433541156148,0.06364722,0.8863028,-0.45870614,0.39885963336363806,0.11034091,-0.81129855,0.5741209,0.4165187084864736,0.9915504,-0.11165277,0.065914854,0.11945913902244526,-0.38117272,-0.41467765,0.82628125,0.21916020286800936,-0.21229143,0.34492248,-0.9143053,0.30373703517396206,-0.55768096,-0.5729289,-0.6005926,0.06072103106310801,-0.4405258,0.69479656,0.5684964,0.30912724087702614,-0.44417456,-0.7492402,-0.49126434,0.26928289579443043,-0.83837694,-0.11942706,0.53182817,0.09936974757313559,-0.77401686,0.2152274,-0.59545517,0.24301645552907009,-0.53705186,-0.519401,0.66467345,0.2819807943457895,-0.7801514,-0.6180615,0.09670923,0.18007080694640118,-0.86158234,0.50631934,-0.036078192,0.13268182246405266,0.763629,-0.4602361,0.45282063,0.2872449649606283,0.9431512,0.2450907,-0.2244712,0.2220249092198143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.55470794,-0.26525897,5.4747424;-0.9325105,0.0019692194,-0.3611366,3.025391096352019,0.4111424,0.7684404,0.49034983,0.10993932446921871,-0.8317271,-0.46503258,-0.30324802,0.13025476978933934,0.97590905,-0.2174785,0.016902657,0.10553544712122122,-0.42273113,-0.8965168,-0.13243212,0.11280968618814066,-0.13788463,0.9317584,0.33583567,0.07041834607205485,-0.98774666,-0.11368082,-0.10684912,0.1207332910123592,0.09003379,0.8740011,-0.47750494,0.3938927451741596,0.11261186,-0.8025622,0.5858392,0.4131613359471764,0.99464554,-0.09206458,0.04677756,0.1233771971096681,-0.44062686,-0.3774614,0.8144703,0.22256021239353685,-0.21234931,0.32399583,-0.9219154,0.3125871523916693,-0.43270347,-0.65546715,-0.61895347,0.07353465438846556,-0.37765068,0.7397027,0.55696833,0.3257176881788798,-0.4167782,-0.75211525,-0.51050127,0.2839928930409547,-0.8330467,-0.056977987,0.5502427,0.10150954093266278,-0.6369975,0.26212797,-0.7249244,0.26080137928359487,-0.52219164,-0.5400636,0.6600305,0.2887170405564964,-0.6864396,-0.720937,0.09507997,0.19324691002747488,-0.8389716,0.54031926,-0.06455191,0.1364571667216446,0.5947822,-0.6095851,0.52405316,0.23606793444273036,0.9488841,0.25741944,-0.18260327,0.19516314936502546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.55349773,-0.26243776,5.4082603;-0.9337718,0.010026073,-0.35772774,3.034459182714706,0.29333287,0.6494039,0.70158124,0.14079833129712876,-0.84117377,-0.31819168,-0.43722996,0.1844289359537156,0.95704764,-0.2888199,0.02501122,0.11596291899869111,-0.036721673,-0.9825985,-0.18203309,0.1278115311870952,0.41206276,0.8395538,0.35402012,0.08512230101565002,-0.97838396,-0.13490611,-0.15667376,0.10751540283725912,0.045730665,0.8449128,-0.5329408,0.3910120936664202,0.09487257,-0.76801556,0.6333612,0.4157401932847351,0.992782,-0.119226016,0.012375431,0.12630983467378604,-0.46618283,-0.30049774,0.8320857,0.24905427089359405,-0.22204922,0.28069696,-0.9337545,0.3360409711134351,-0.27017522,-0.7001935,-0.66083944,0.07808159947796493,-0.36098793,0.7325252,0.57713807,0.32078360547997614,-0.418668,-0.72318006,-0.54929113,0.28674773861133884,-0.78484637,-0.0036622812,0.61966246,0.09418260738306643,-0.6043423,0.22136892,-0.76534843,0.2516739169033907,-0.5703426,-0.5436332,0.61576355,0.2690962855603689,-0.5801744,-0.8130596,0.048199173,0.23532114063658652,-0.8045225,0.59224105,-0.044513464,0.15934175927856215,0.32685906,-0.7762731,0.53902984,0.1974661795378235,0.91545177,0.37266994,-0.15182988,0.15585338367189752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
